user_id,first_name,last_name,date_start,date_end,ctc,net_pay,gross_pay,data_salary_basic_rate,data_salary_basic_type,currency,status,created_at
75218,"","",2022-01-01,2022-01-31,245301.66666666666,245301.67,245301.66666666666,15000,hourly,IDR,approved,2022-02-04 07:21:32
83902,"","",2022-01-01,2022-01-31,2680068,2680068,2680068,2500000,monthly,IDR,approved,2022-02-04 07:22:36
84509,"","",2022-01-01,2022-01-31,266847.5,266847.5,266847.5,9000,hourly,IDR,approved,2022-02-04 07:24:18
84699,"","",2022-01-01,2022-01-31,59850,59850,59850,9000,hourly,IDR,approved,2022-02-04 07:24:57
75983,"","",2022-01-01,2022-01-31,234000,234000,234000,120000,daily,IDR,approved,2022-02-04 07:27:58
75963,"","",2022-01-01,2022-01-31,702000,702000,702000,120000,daily,IDR,approved,2022-02-04 07:37:16
84517,"","",2022-01-01,2022-01-31,585000,585000,585000,120000,daily,IDR,approved,2022-02-04 07:42:33
84490,"","",2022-01-01,2022-01-31,1677000,1677000,1677000,120000,daily,IDR,approved,2022-02-04 07:43:19
84932,"","",2022-01-01,2022-01-31,906750,906750,906750,120000,daily,IDR,approved,2022-02-04 07:44:19
85877,"","",2022-01-01,2022-01-31,1092000,1092000,1092000,120000,daily,IDR,approved,2022-02-04 07:48:14
90377,"","",2022-01-01,2022-01-31,750000,750000,750000,750000,monthly,IDR,approved,2022-02-04 08:07:34
74556,"","",2022-01-01,2022-01-31,2211289,2211289,2211289,1800000,monthly,IDR,approved,2022-02-04 08:09:43
74052,"","",2022-02-01,2022-02-28,565912,565912,565912,1800000,monthly,IDR,approved,2022-02-26 08:05:54
75218,"","",2022-02-01,2022-02-28,375521,375521,375521,15000,hourly,IDR,approved,2022-02-26 09:02:37
84509,"","",2022-02-01,2022-02-28,178432.5,178432.5,178432.5,9000,hourly,IDR,approved,2022-02-26 09:06:11
74053,"","",2022-02-01,2022-02-28,4004273,4004273,4004273,3500000,monthly,IDR,approved,2022-03-01 04:37:08
74044,"","",2022-02-01,2022-02-28,4513462,4513462,4513462,3500000,monthly,IDR,approved,2022-03-01 05:16:16
84541,"","",2022-02-01,2022-02-28,4291525,4291525,4291525,3500000,monthly,IDR,approved,2022-03-01 05:22:23
87864,"","",2022-02-01,2022-02-28,2913159,2913159,2913159,3500000,monthly,IDR,approved,2022-03-01 05:25:27
74050,"","",2022-02-01,2022-02-28,3432277,3432277,3432277,1800000,monthly,IDR,approved,2022-03-01 05:27:01
74049,"","",2022-02-01,2022-02-28,3746791,3746791,3746791,1800000,monthly,IDR,approved,2022-03-01 05:33:30
74461,"","",2022-02-01,2022-02-28,4271129,4271129,4271129,3000000,monthly,IDR,approved,2022-03-01 05:36:00
74042,"","",2022-02-01,2022-02-28,3284467,3284467,3284467,2750000,monthly,IDR,approved,2022-03-01 05:37:41
74556,"","",2022-02-01,2022-02-28,2130710,2130710,2130710,1800000,monthly,IDR,approved,2022-03-01 05:41:08
83884,"","",2022-02-01,2022-02-28,3638689,3638689,3638689,3000000,monthly,IDR,approved,2022-03-01 05:42:17
83885,"","",2022-02-01,2022-02-28,3264798,3264798,3264798,3000000,monthly,IDR,approved,2022-03-01 05:43:11
74465,"","",2022-02-01,2022-02-28,1740387,1740387,1740387,45000,daily,IDR,approved,2022-03-01 05:47:04
74639,"","",2022-02-01,2022-02-28,718204,718204,718204,40000,daily,IDR,approved,2022-03-01 05:48:32
74054,"","",2022-02-01,2022-02-28,1879236,1879236,1879236,45000,daily,IDR,approved,2022-03-01 05:49:18
